Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 23:41:17 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------+--------+-------------+
| Net Name                                           | Fanout | Driver Type |
+----------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_7[12]                         |     51 | LUT6        |
| muon_sorter_1/max_pt_13_reto[12]                   |     47 | FDRE        |
| muon_sorter_1/max_pt_8[11]                         |     46 | LUT6        |
| muon_sorter_1/max_pt_11[12]                        |     40 | LUT6        |
| muon_sorter_1/max_pt_14[8]                         |     39 | LUT6        |
| muon_sorter_1/max_pt_14[14]                        |     38 | LUT6        |
| muon_sorter_1/max_pt_6[11]                         |     38 | LUT6        |
| muon_sorter_1/max_pt_7[13]                         |     38 | LUT6        |
| muon_sorter_1/max_pt_14[2]                         |     37 | LUT6        |
| muon_sorter_1/max_pt_14[0]                         |     36 | LUT6        |
| muon_sorter_1/max_pt_14[15]                        |     36 | LUT6        |
| muon_sorter_1/max_pt_14[1]                         |     36 | LUT6        |
| muon_sorter_1/max_pt_5[1]                          |     36 | LUT6        |
| muon_sorter_1/max_pt_14[10]                        |     35 | LUT6        |
| muon_sorter_1/max_pt_14[11]                        |     35 | LUT6        |
| muon_sorter_1/max_pt_14[13]                        |     35 | LUT4        |
| muon_sorter_1/max_pt_14[4]                         |     35 | LUT5        |
| muon_sorter_1/max_pt_14[5]                         |     35 | LUT6        |
| muon_sorter_1/max_pt_12_0[5]                       |     34 | LUT6        |
| muon_sorter_1/max_pt_12_1[5]                       |     34 | LUT5        |
| muon_sorter_1/max_pt_14[9]                         |     34 | LUT6        |
| muon_sorter_1/max_pt_5_0[4]                        |     34 | LUT6        |
| muon_sorter_1/max_pt_5_1[4]                        |     34 | LUT5        |
| muon_sorter_1/max_pt_11[10]                        |     33 | LUT4        |
| muon_sorter_1/max_pt_12[11]                        |     33 | LUT6        |
| muon_sorter_1/max_pt_14_0[6]                       |     33 | LUT6        |
| muon_sorter_1/max_pt_14_1[6]                       |     33 | LUT5        |
| muon_sorter_1/max_pt_9_1[4]                        |     33 | LUT6        |
| muon_sorter_1/max_pt_12_2[5]                       |     32 | LUT6        |
| muon_sorter_1/max_pt_14[3]                         |     32 | LUT6        |
| muon_sorter_1/max_pt_14_2[6]                       |     32 | LUT5        |
| muon_sorter_1/max_pt_10[0]                         |     31 | LUT4        |
| muon_sorter_1/max_pt_10_0[6]                       |     31 | LUT6        |
| muon_sorter_1/max_pt_10_1[6]                       |     31 | LUT5        |
| muon_sorter_1/max_pt_13_1_reto[5]                  |     31 | FDRE        |
| muon_sorter_1/max_pt_14[12]                        |     31 | LUT6        |
| muon_sorter_1/max_pt_4_0[4]                        |     31 | LUT6        |
| muon_sorter_1/max_pt_4_1[4]                        |     31 | LUT5        |
| muon_sorter_1/max_pt_5_2[4]                        |     31 | LUT4        |
| muon_sorter_1/max_pt_7[15]                         |     31 | LUT6        |
| muon_sorter_1/max_pt_8[10]                         |     31 | LUT6        |
| muon_sorter_1/max_pt_13_3[5]                       |     30 | LUT5        |
| muon_sorter_1/max_pt_4_2[4]                        |     30 | LUT4        |
| muon_sorter_1/max_pt_11_0[5]                       |     29 | LUT6        |
| muon_sorter_1/max_pt_11_1[5]                       |     29 | LUT5        |
| muon_sorter_1/max_pt_3[14]                         |     29 | LUT6        |
| muon_sorter_1/max_pt_5[14]                         |     29 | LUT6        |
| muon_sorter_1/max_pt_7[6]                          |     29 | LUT6        |
| muon_sorter_1/max_pt_0oi[7]                        |     28 | LUT6        |
| muon_sorter_1/max_pt_10_2[6]                       |     28 | LUT4        |
| muon_sorter_1/max_pt_11[11]                        |     28 | LUT6        |
| muon_sorter_1/max_pt_11_2[5]                       |     28 | LUT4        |
| muon_sorter_1/max_pt_14[7]                         |     28 | LUT5        |
| muon_sorter_1/max_pt_2[11]                         |     28 | LUT6        |
| muon_sorter_1/max_pt_5[13]                         |     28 | LUT6        |
| muon_sorter_1/max_pt_5[5]                          |     28 | LUT6        |
| muon_sorter_1/max_pt_7[7]                          |     28 | LUT6        |
| muon_sorter_1/max_pt_8[12]                         |     28 | LUT6        |
| muon_sorter_1/top_candoi[24]                       |     28 | FDRE        |
| muon_sorter_1/top_candoi[8]                        |     28 | FDRE        |
| muon_sorter_1/max_pt_3[12]                         |     27 | LUT6        |
| muon_sorter_1/max_pt_5[7]                          |     27 | LUT6        |
| muon_sorter_1/max_pt_8[3]                          |     27 | LUT4        |
| muon_sorter_1/max_pt_13[13]                        |     26 | LUT6        |
| muon_sorter_1/max_pt_13[7]                         |     26 | LUT6        |
| muon_sorter_1/max_pt_13_reto[6]                    |     26 | FDRE        |
| muon_sorter_1/max_pt_2[8]                          |     26 | LUT6        |
| muon_sorter_1/max_pt_5[0]                          |     26 | LUT6        |
| muon_sorter_1/max_pt_6[4]                          |     26 | LUT6        |
| muon_sorter_1/max_pt_7[1]                          |     26 | LUT6        |
| muon_sorter_1/max_pt_8[8]                          |     26 | LUT6        |
| muon_sorter_1/max_pt_12[14]                        |     25 | LUT6        |
| muon_sorter_1/max_pt_13[10]                        |     25 | LUT6        |
| muon_sorter_1/max_pt_3[15]                         |     25 | LUT6        |
| muon_sorter_1/max_pt_5[11]                         |     25 | LUT6        |
| muon_sorter_1/max_pt_5[15]                         |     25 | LUT6        |
| muon_sorter_1/max_pt_5[9]                          |     25 | LUT6        |
| muon_sorter_1/max_pt_7[5]                          |     25 | LUT6        |
| muon_sorter_1/max_pt_8[0]                          |     25 | LUT6        |
| muon_sorter_1/max_pt_8[13]                         |     25 | LUT5        |
| muon_sorter_1/max_pt_8[7]                          |     25 | LUT6        |
| muon_sorter_1/max_pt_10[14]                        |     24 | LUT3        |
| muon_sorter_1/max_pt_10[1]                         |     24 | LUT6        |
| muon_sorter_1/max_pt_12_0[13]                      |     24 | LUT6        |
| muon_sorter_1/max_pt_12_1[13]                      |     24 | LUT4        |
| muon_sorter_1/max_pt_3[13]                         |     24 | LUT6        |
| muon_sorter_1/max_pt_3[2]                          |     24 | LUT6        |
| muon_sorter_1/max_pt_5[10]                         |     24 | LUT6        |
| muon_sorter_1/max_pt_9[8]                          |     24 | LUT5        |
| muon_sorter_1/sr_p.sr_2_0.pt_ret_89_RNI70V1RL3/O6  |     24 | LUT6        |
| muon_sorter_1/top_candoi[136]                      |     24 | FDRE        |
| muon_sorter_1/top_candoi[152]                      |     24 | FDRE        |
| muon_sorter_1/top_candoi[40]                       |     24 | FDRE        |
| muon_sorter_1/max_pt_12[12]                        |     23 | LUT6        |
| muon_sorter_1/max_pt_12[3]                         |     23 | LUT6        |
| muon_sorter_1/max_pt_13_1_reto[4]                  |     23 | FDRE        |
| muon_sorter_1/max_pt_13_1_reto[7]                  |     23 | FDRE        |
| muon_sorter_1/max_pt_13_3[4]                       |     23 | LUT5        |
| muon_sorter_1/max_pt_13_reto[4]                    |     23 | FDRE        |
| muon_sorter_1/max_pt_13_reto[9]                    |     23 | LUT6        |
| muon_sorter_1/max_pt_2[4]                          |     23 | LUT6        |
| muon_sorter_1/max_pt_3[10]                         |     23 | LUT6        |
